,track_uri,artist_uri,genres
0,5xYA9rsxSHhgXCBE9m6vVU,18lpwfiys4GtdHWNUu9qQr,australian reggae fusion
1,0iluDFmmcF0iiRr1B9HN67,0Px7KRe8Ye1Pq32w7XMky9,
2,4y78bEIRTzNe2RbGAnX8zU,28j8lBWDdDSHSSt5oPlsX2,edm
2,4y78bEIRTzNe2RbGAnX8zU,28j8lBWDdDSHSSt5oPlsX2,electro house
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,conscious hip hop
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,funk
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,jazz funk
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,political hip hop
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,slam poetry
3,0A8sf11wkEUQyjWV0zyfNy,0kEfub5RzlZOB2zGomqVSU,soul
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,adult standards
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,baroque pop
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,classic rock
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,psychedelic rock
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,rock
4,0ObrXLrfrqJUNc8RfmIBHP,3oDbviiivRWhXwIE8hxkVV,sunshine pop
5,44UQXH7aTixNPzHGeBpXJv,4sSSkVtrCTzENCgm2vokiY,big beat
5,44UQXH7aTixNPzHGeBpXJv,4sSSkVtrCTzENCgm2vokiY,electronica
5,44UQXH7aTixNPzHGeBpXJv,4sSSkVtrCTzENCgm2vokiY,trip hop
5,44UQXH7aTixNPzHGeBpXJv,4sSSkVtrCTzENCgm2vokiY,turntablism
5,44UQXH7aTixNPzHGeBpXJv,4sSSkVtrCTzENCgm2vokiY,uk hip hop
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,alternative rock
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,anti-folk
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,art rock
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,baroque pop
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,britpop
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,chamber pop
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,indie pop
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,indie rock
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,melancholia
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,pop rock
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,scottish indie
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,scottish rock
6,0YFRBmUC8y5OOl4LHH8JFy,4I2BJf80C0skQpp1sQmA0h,twee pop
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,ambient
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,ambient pop
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,art pop
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,chillwave
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,compositional ambient
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,drone
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,electra
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,fourth world
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,melancholia
7,4Nj7jHfEE44ppiAmVex7yJ,0HWfFWL4vVrbaBQqxVCwCi,spectra
8,22OFgezgizE4OH6WNlqzkN,0wXaC3fHGVXbhwn5iLZMMi,chamber psych
8,22OFgezgizE4OH6WNlqzkN,0wXaC3fHGVXbhwn5iLZMMi,crank wave
8,22OFgezgizE4OH6WNlqzkN,0wXaC3fHGVXbhwn5iLZMMi,irish indie rock
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,chillwave
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,electra
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,electronica
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,escape room
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,future garage
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,indie soul
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,microhouse
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,uk bass
9,691HbefeRbA751TYr9PCGJ,3NUtpWpGDoffm3RCGhSHtl,wonky
10,4KXAulHeLjKCVoHrCAMdto,3kHVioJpVxlazAAKQ64pC1,malaysian pop
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,chamber pop
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,chamber psych
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,dream pop
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,indie rock
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,melancholia
11,3yzhc9V52YdpgHv4oInCq9,3xZBpeXHkSjTKQIR1OeKN0,twee pop
12,5yLBx9T8IFnsnjBvjQAiuP,0HHh73DHIGrZjm3dADNdcH,oaxaca indie
13,4RYBX1zxutQxTRkRKYZuV2,4RB2kk5dmocmMiHFBlmOEt,uk contemporary r&b
14,7b920amIgd97eDkvdtTZq9,4KiROF7429B2u0msF92ueV,
15,3RIgHHpnFKj5Rni1shokDj,00FQb4jTyendYWaN8pK0wa,art pop
15,3RIgHHpnFKj5Rni1shokDj,00FQb4jTyendYWaN8pK0wa,pop
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,alternative rock
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,anti-folk
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,art pop
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,dream pop
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,indie rock
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,lo-fi
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,new jersey indie
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,noise pop
16,0jgsq6l1yMZIlJX4AFXAgA,5hAhrnb0Ch4ODwWu4tsbpi,permanent wave
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,canadian electronic
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,electronica
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,float house
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,future garage
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,microhouse
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,uk bass
17,0G4JbmcDdxERktnzz9ndrF,0ygIgsjUzKivFgxgjQ9iV9,wonky
18,7fjLBPTsQrbkV2WRedi2bw,5CuU6SRJjbbZL926nSGGxX,abstract hip hop
18,7fjLBPTsQrbkV2WRedi2bw,5CuU6SRJjbbZL926nSGGxX,alternative hip hop
18,7fjLBPTsQrbkV2WRedi2bw,5CuU6SRJjbbZL926nSGGxX,escape room
19,05q6GU1e5Zg3DLMk5ZEdMu,3yY2gUcIsjMr8hjo51PoJ8,madchester
19,05q6GU1e5Zg3DLMk5ZEdMu,3yY2gUcIsjMr8hjo51PoJ8,new wave
19,05q6GU1e5Zg3DLMk5ZEdMu,3yY2gUcIsjMr8hjo51PoJ8,permanent wave
19,05q6GU1e5Zg3DLMk5ZEdMu,3yY2gUcIsjMr8hjo51PoJ8,rock
19,05q6GU1e5Zg3DLMk5ZEdMu,3yY2gUcIsjMr8hjo51PoJ8,uk post-punk
20,39exKIvycQDgs4T6uXdyu0,5BvJzeQpmsdsFp4HGUYUEx,baroque pop
20,39exKIvycQDgs4T6uXdyu0,5BvJzeQpmsdsFp4HGUYUEx,indie rock
20,39exKIvycQDgs4T6uXdyu0,5BvJzeQpmsdsFp4HGUYUEx,modern rock
20,39exKIvycQDgs4T6uXdyu0,5BvJzeQpmsdsFp4HGUYUEx,rock
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,alternative r&b
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,dance pop
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,dmv rap
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,escape room
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,pop
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,rap
21,5ETaBwJUZbrpqCYgZ5EGa6,2OaHYHb2XcFPvqL3VsyPzU,trap queen
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,chamber pop
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,chamber psych
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,dream pop
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,indie rock
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,melancholia
22,5lIv2T9BJenqvATDmcbf0q,3xZBpeXHkSjTKQIR1OeKN0,twee pop
23,72Q94I0gbEuHDYwLxW1Tbg,6sqZoZxe9BQwk7Zxh6STfF,alternative r&b
23,72Q94I0gbEuHDYwLxW1Tbg,6sqZoZxe9BQwk7Zxh6STfF,indie jazz
23,72Q94I0gbEuHDYwLxW1Tbg,6sqZoZxe9BQwk7Zxh6STfF,indie soul
23,72Q94I0gbEuHDYwLxW1Tbg,6sqZoZxe9BQwk7Zxh6STfF,psychedelic soul
24,3jqqUrbLKSBzmv45oX3RmX,3HL1CyOnDLFJo1Rr8YBlKy,classic italian pop
24,3jqqUrbLKSBzmv45oX3RmX,3HL1CyOnDLFJo1Rr8YBlKy,italian adult pop
24,3jqqUrbLKSBzmv45oX3RmX,3HL1CyOnDLFJo1Rr8YBlKy,ye ye
25,31L5UB9HKtadbvVEGhkLGp,56ZTgzPBDge0OvCGgMO3OY,baltimore indie
25,31L5UB9HKtadbvVEGhkLGp,56ZTgzPBDge0OvCGgMO3OY,dream pop
25,31L5UB9HKtadbvVEGhkLGp,56ZTgzPBDge0OvCGgMO3OY,dreamo
25,31L5UB9HKtadbvVEGhkLGp,56ZTgzPBDge0OvCGgMO3OY,modern dream pop
26,3P0r4WUpv5BQbLAwDYhxfO,12fRkVfO2fUsz1QHgDAG3g,art pop
26,3P0r4WUpv5BQbLAwDYhxfO,12fRkVfO2fUsz1QHgDAG3g,indie folk
26,3P0r4WUpv5BQbLAwDYhxfO,12fRkVfO2fUsz1QHgDAG3g,indie pop
26,3P0r4WUpv5BQbLAwDYhxfO,12fRkVfO2fUsz1QHgDAG3g,indie rock
26,3P0r4WUpv5BQbLAwDYhxfO,12fRkVfO2fUsz1QHgDAG3g,sydney indie
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,alternative hip hop
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,hip hop
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,indiana hip hop
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,rap
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,southern hip hop
27,4w5m4X0OZ2IslxNOgtntTN,0Y4inQK6OespitzD6ijMwb,underground hip hop
28,3o632iBnSZ4LFDCacGkP3X,3nf2EaHj8HikLNdaiW3v73,alternative hip hop
28,3o632iBnSZ4LFDCacGkP3X,3nf2EaHj8HikLNdaiW3v73,conscious hip hop
28,3o632iBnSZ4LFDCacGkP3X,3nf2EaHj8HikLNdaiW3v73,escape room
28,3o632iBnSZ4LFDCacGkP3X,3nf2EaHj8HikLNdaiW3v73,rap
28,3o632iBnSZ4LFDCacGkP3X,3nf2EaHj8HikLNdaiW3v73,underground hip hop
29,71md8EbjkbsvLmDBRa9syJ,2p1fiYHYiXz9qi0JJyxBzN,birmingham grime
29,71md8EbjkbsvLmDBRa9syJ,2p1fiYHYiXz9qi0JJyxBzN,grime
29,71md8EbjkbsvLmDBRa9syJ,2p1fiYHYiXz9qi0JJyxBzN,instrumental grime
30,1iyw8x0tXL1oJOq6whdvA1,1wlzPS1hSNrkriIIwLFTmU,alternative hip hop
30,1iyw8x0tXL1oJOq6whdvA1,1wlzPS1hSNrkriIIwLFTmU,boom bap
30,1iyw8x0tXL1oJOq6whdvA1,1wlzPS1hSNrkriIIwLFTmU,underground hip hop
31,048gchV6MNZSLX3TNMHGWb,4DMSJzGjw2SMkKAT5EEE5u,indie garage rock
31,048gchV6MNZSLX3TNMHGWb,4DMSJzGjw2SMkKAT5EEE5u,montreal indie
31,048gchV6MNZSLX3TNMHGWb,4DMSJzGjw2SMkKAT5EEE5u,quebec indie
32,3h09MiElybhYSrh01jWXpH,1ZxaNqrkTzqjsbXrCZM0qy,wonky
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,alternative hip hop
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,hip hop
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,indiana hip hop
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,rap
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,southern hip hop
33,1yeTf9ZUaNlJ7637FJLtRa,0Y4inQK6OespitzD6ijMwb,underground hip hop
34,5QnzAZ2W3Ap3gSiO2vsGQG,7xJVICbAWizNBKBD3mRWjF,canadian electronic
34,5QnzAZ2W3Ap3gSiO2vsGQG,7xJVICbAWizNBKBD3mRWjF,electra
35,5nXT0jRAR9ChVWmh2tLQln,2WoVwexZuODvclzULjPQtm,indie soul
36,2Xdc6qyaFBJZ8QW1KhpVci,22WZ7M8sxp5THdruNY3gXt,acid rock
36,2Xdc6qyaFBJZ8QW1KhpVci,22WZ7M8sxp5THdruNY3gXt,album rock
36,2Xdc6qyaFBJZ8QW1KhpVci,22WZ7M8sxp5THdruNY3gXt,classic rock
36,2Xdc6qyaFBJZ8QW1KhpVci,22WZ7M8sxp5THdruNY3gXt,psychedelic rock
36,2Xdc6qyaFBJZ8QW1KhpVci,22WZ7M8sxp5THdruNY3gXt,rock
37,7Bt9TXAyPw3qkred2YOT8g,73vrJ0s1YBCtEfHTsyRLNo,
38,068XDWvE8tDnQsKo8J3x1Z,7aA592KWirLsnfb5ulGWvU,alternative hip hop
