track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Miss The Days,SBTRKT,Miss The Days,2022-07-25,220650,2,4TdBkfjotcNZWAGI2xgxh9,0.148,0.522,0.934,0.517,1,0.0447,-3.334,0,0.0631,175.293,4
Turning You On,Never Dull,"VA Compilation, Vol. 2",2018-08-22,405245,0,0CgQOzaA7J99vQpdjIcaLS,0.00911,0.794,0.784,0.713,4,0.0892,-8.079,0,0.0802,120.014,4
Otis,JAY-Z,Watch The Throne (Deluxe),2011-08-08,178213,69,6vegnfDS8DAEaCqWaPYGPy,0.552,0.754,0.631,0.0,7,0.5,-4.751,0,0.307,94.577,4
Matilda,Harry Styles,Harry's House,2022-05-20,245964,80,6uvh0In7u1Xn4HgxOfAn8O,0.896,0.507,0.294,1.97e-05,2,0.0966,-10.0,1,0.04,114.199,4
Quarterback,Wallows,Quarterback,2021-02-15,180386,60,2OwIGCjx7e7J1HHdAqIv21,0.0135,0.689,0.719,1.64e-06,11,0.107,-3.883,1,0.031,121.008,4
Cinema,Harry Styles,Harry's House,2022-05-20,243507,75,35TyJIMR3xRouUuo2sjS6v,0.354,0.829,0.644,0.0511,9,0.0944,-7.696,0,0.0427,105.993,4
Droppin Jewels,Young Thug,Punk,2021-10-15,218596,51,3q8Uyfo98yoEqByamJOIkJ,0.489,0.575,0.523,0.0,2,0.0873,-10.002,0,0.506,78.252,4
United In Grief,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,255377,3,05zd5Nv0e02ZqrlC8A2cwx,0.244,0.529,0.845,0.0,8,0.143,-8.142,1,0.404,85.63,3
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,195950,26,2FeBslNBMdR9V58uv6hd2t,0.377,0.79,0.67,2.32e-06,1,0.119,-5.527,1,0.105,139.956,4
Worldwide Steppers,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,203367,2,5p56JT5F9a1z9pwXnqTg7d,0.753,0.514,0.472,0.00012,8,0.0746,-11.106,0,0.368,77.215,3
Die Hard,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,239026,3,6gI9b2VsoWhjhIuIeToDVs,0.319,0.775,0.736,0.00116,1,0.127,-8.072,0,0.247,100.988,4
Father Time (feat. Sampha),Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,222497,6,4xIhSUJantE6BMl3u8dtCJ,0.181,0.514,0.779,0.0,10,0.099,-4.365,0,0.344,152.869,4
Rich - Interlude,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,103319,1,2Az5ykbQiZtFWtACCMvWlP,0.864,0.481,0.406,0.000315,7,0.0869,-11.52,1,0.0775,91.589,4
Rich Spirit,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,202285,6,6kYGOFNUMxpab09L5Ukoke,0.428,0.852,0.421,2.28e-06,10,0.106,-9.153,0,0.208,95.977,4
We Cry Together,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,341307,2,0RAvy97QRPzO2AfK5Dw6j3,0.292,0.648,0.68,0.0,11,0.0808,-7.276,1,0.345,106.89,3
